time(s),Engagement,Memorization,Workload
1.932000,29.6115295531,25.9059086445,17.4568270949
1.936000,29.6115295531,25.9059086445,17.4568270949
1.940000,29.6115295531,25.9059086445,17.4568270949
1.944000,29.6115295531,25.9059086445,17.4568270949
1.948000,29.6115295531,25.9059086445,17.4568270949
1.952000,30.2821761589,25.5767669425,19.6257321873
1.956000,30.2821761589,25.5767669425,19.6257321873
1.960000,30.2821761589,25.5767669425,19.6257321873
1.964000,30.2821761589,25.5767669425,19.6257321873
1.968000,30.2821761589,25.5767669425,19.6257321873
1.972000,30.2821761589,25.5767669425,19.6257321873
1.976000,30.2821761589,25.5767669425,19.6257321873
1.980000,30.2821761589,25.5767669425,19.6257321873
1.984000,30.0607676928,25.850585274,18.7969790087
1.988000,30.0607676928,25.850585274,18.7969790087
1.992000,30.0607676928,25.850585274,18.7969790087
1.996000,30.0607676928,25.850585274,18.7969790087
2.000000,30.0607676928,25.850585274,18.7969790087
2.004000,30.0607676928,25.850585274,18.7969790087
2.008000,30.0607676928,25.850585274,18.7969790087
2.012000,30.0607676928,25.850585274,18.7969790087
2.016000,29.6535736421,26.3228807348,17.6139378857
2.020000,29.6535736421,26.3228807348,17.6139378857
2.024000,29.6535736421,26.3228807348,17.6139378857
2.028000,29.6535736421,26.3228807348,17.6139378857
2.032000,29.6535736421,26.3228807348,17.6139378857
2.036000,29.6535736421,26.3228807348,17.6139378857
2.040000,29.6535736421,26.3228807348,17.6139378857
2.044000,29.6535736421,26.3228807348,17.6139378857
2.048000,30.1616288254,26.5628264058,18.1121193201
2.052000,30.1616288254,26.5628264058,18.1121193201
2.056000,30.1616288254,26.5628264058,18.1121193201
2.060000,30.1616288254,26.5628264058,18.1121193201
2.064000,30.1616288254,26.5628264058,18.1121193201
2.068000,30.1616288254,26.5628264058,18.1121193201
2.072000,30.1616288254,26.5628264058,18.1121193201
2.076000,30.1616288254,26.5628264058,18.1121193201
2.080000,29.6915774668,26.3362019268,18.2683653366
2.084000,29.6915774668,26.3362019268,18.2683653366
2.088000,29.6915774668,26.3362019268,18.2683653366
2.092000,29.6915774668,26.3362019268,18.2683653366
2.096000,29.6915774668,26.3362019268,18.2683653366
2.100000,29.6915774668,26.3362019268,18.2683653366
2.104000,29.6915774668,26.3362019268,18.2683653366
2.108000,29.6915774668,26.3362019268,18.2683653366
2.112000,30.3120722129,25.8410242535,19.1533193039
2.116000,30.3120722129,25.8410242535,19.1533193039
2.120000,30.3120722129,25.8410242535,19.1533193039
2.124000,30.3120722129,25.8410242535,19.1533193039
2.128000,30.3120722129,25.8410242535,19.1533193039
2.132000,30.3120722129,25.8410242535,19.1533193039
2.136000,30.3120722129,25.8410242535,19.1533193039
2.140000,30.3120722129,25.8410242535,19.1533193039
2.144000,29.909629326,25.2320498084,17.8075423924
2.148000,29.909629326,25.2320498084,17.8075423924
2.152000,29.909629326,25.2320498084,17.8075423924
2.156000,29.909629326,25.2320498084,17.8075423924
